reseña_id,producto_id,nombre_producto,plataforma,rating,comentario,fecha_review,url,marca,tipo_formato,comentario_limpio,longitud_texto,polaridad,sentimiento
2933911381,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Comodidad: están bastante cómodos, no siento que pesen tanto como la gente dice. Aislamiento: gran cancelación de ruido, te aísla por completo. El producto es original, son los airpods más recientes los max 2.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,comodidad bastante cómodos siento pesen gente dice aislamiento gran cancelación ruido aísla completo producto original airpods recientes max,209,0.375,Positivo
2929092155,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Materiales: se siente de excelente calidad. Comodidad: ligeramente pesados pero los más cómodos que probé. El sonido genial, y la cancelación de ruido excelente.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,materiales excelente calidad comodidad ligeramente pesados cómodos probé sonido genial cancelación ruido excelente,161,0.0,Neutral
2926365432,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Sonido: excelente sonido. Comodidad: super cómodos. Los compré para usarlos en vuelos principalmente y es una maravilla te aísla del ruido y en vuelos largos puedes dormir.,Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,sonido excelente sonido comodidad super cómodos compré usarlos vuelos principalmente maravilla aísla ruido vuelos largos puedes dormir,172,0.333,Positivo
2881212525,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Excelente. Si son originales, llevo 10 meses con ellos y son una chulada. El sonido muy bueno y ni hablemos de lo padrísimo que es la cancelación de ruido. Súper recomendados.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente originales llevo meses chulada sonido bueno hablemos padrísimo cancelación ruido súper recomendados,175,0.0,Neutral
2889165014,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Sonido: claros. Aislamiento: cancelación de ruido.,Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,sonido claros aislamiento cancelación ruido,50,0.0,Neutral
2833727258,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Excelente.,Hace 3 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente,10,0.0,Neutral
2581789501,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Es magnífico, ya velocidad con la que cambia entre dispositivos apple es instantánea. Si tienes el ecosistema de apple esta es un excelente compra.",Hace 7 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,magnífico velocidad cambia dispositivos apple instantánea ecosistema apple excelente compra,147,0.0,Neutral
2949576718,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Original, todo bien y rápido.",Hace 1 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,original bien rápido,29,0.375,Positivo
2938878039,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Comodidad: son pesados. Materiales: materiales de apple, no decepcionan. Sin duda unos audífonos que no son para cualquiera.",Hace 1 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,comodidad pesados materiales materiales apple decepcionan duda audífonos cualquiera,124,0.0,Neutral
2919394293,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Excelente calidad, solo que estan muy pesados.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente calidad solo estan pesados,46,0.0,Neutral
2918387846,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Excelente producto, no habia tenido mejores audifonos que estos.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente producto habia mejores audifonos,64,0.0,Neutral
2898632122,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Excelente.,Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente,10,0.0,Neutral
2882325881,MLM1066705967,Apple AirPods Max 2,Mercado Libre,4.0,Mmm hay mejores como los sonos ace.,Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,mmm mejores sonos ace,35,0.0,Neutral
2877836301,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Si tienen la oportunidad de comprarlos, háganlo. El sonido es excelente y están bien bonitos.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,oportunidad comprarlos háganlo sonido excelente bien bonitos,93,0.0,Neutral
2882715772,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Exelentes.,Hace 3 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,exelentes,10,0.0,Neutral
2871363692,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Aislamiento: muy bueno, de los mejores del mercado. Sonido: graves muy buenos, sin distinción, medio muy estables y tmb agudos, sin duda una muy buena compra. No se arrepentirán de esta compra.",Hace 3 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,aislamiento bueno mejores mercado sonido graves buenos distinción medio estables tmb agudos duda buena compra arrepentirán compra,193,0.0,Neutral
2556234462,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Una súper opción. La batería y el audio 10/10.,Hace 8 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,súper opción batería audio,46,0.0,Neutral
2183952455,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Probe todos los gamas alta y te puedo decir con toda seguridad, si tienes un iphone ni le busques, son estos te digan lo que te digan.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,probe gamas alta puedo decir toda seguridad iphone busques digan digan,134,0.0,Neutral
