review_id,product_id,date_id,sentiment_id,review_type_id,cluster_id,rating,review_length
960573036,MLM42305910,20260805,1,3,2,5.0,1323
949631037,MLM42305910,20260805,1,1,2,5.0,6
938718909,MLM42305910,20260805,1,2,1,5.0,55
932581850,MLM42305910,20260805,1,3,2,5.0,295
929471605,MLM42305910,20260805,1,1,2,5.0,23
910393160,MLM42305910,20260805,1,1,2,5.0,14
904999205,MLM42305910,20260805,1,3,2,5.0,773
898180000,MLM42305910,20260805,1,1,2,5.0,14
891504784,MLM42305910,20260805,1,2,0,5.0,166
888246327,MLM42305910,20260805,1,1,2,5.0,48
888541476,MLM42305910,20260805,1,2,2,5.0,181
885866612,MLM42305910,20260805,1,1,2,5.0,26
882046008,MLM42305910,20260805,1,1,1,5.0,10
875415750,MLM42305910,20260805,1,2,0,5.0,150
866739874,MLM42305910,20260805,1,2,2,5.0,60
860065321,MLM42305910,20260805,1,1,2,5.0,26
853051993,MLM42305910,20260805,1,1,3,5.0,46
848030912,MLM42305910,20260805,1,1,3,5.0,19
844754177,MLM42305910,20260805,1,1,2,5.0,14
843198139,MLM42305910,20260805,1,1,0,5.0,13
832792405,MLM42305910,20260805,1,2,1,5.0,146
832003899,MLM42305910,20260805,1,2,2,5.0,60
832848166,MLM42305910,20260805,1,1,2,5.0,40
822620365,MLM42305910,20260805,1,3,2,5.0,277
818499471,MLM42305910,20260805,1,2,0,5.0,63
816153499,MLM42305910,20260805,1,2,2,5.0,103
814939222,MLM42305910,20260805,1,3,2,5.0,392
814589796,MLM42305910,20260805,1,1,2,5.0,37
814063554,MLM42305910,20260805,1,2,2,5.0,89
810840782,MLM42305910,20260805,1,2,0,5.0,163
801120616,MLM42305910,20260805,1,2,2,5.0,82
800040958,MLM42305910,20260805,1,2,0,5.0,84
790716446,MLM42305910,20260805,1,2,0,5.0,116
784795024,MLM42305910,20260805,1,2,2,5.0,55
769416527,MLM42305910,20260805,1,2,2,5.0,137
756718104,MLM42305910,20260805,1,1,0,5.0,37
732292466,MLM42305910,20260805,1,3,1,5.0,227
728005222,MLM42305910,20260805,1,2,2,5.0,119
727072851,MLM42305910,20260805,1,3,2,5.0,226
716272815,MLM42305910,20260805,1,2,2,5.0,88
716853496,MLM42305910,20260805,1,2,0,5.0,127
692292107,MLM42305910,20260805,1,2,0,5.0,135
691343328,MLM42305910,20260805,1,2,2,5.0,131
653977203,MLM42305910,20260805,1,2,0,5.0,79
622315861,MLM42305910,20260805,1,2,3,5.0,67
598741333,MLM42305910,20260805,1,3,2,5.0,655
594225395,MLM42305910,20260805,1,2,2,5.0,151
423184572,MLM42305910,20260805,1,2,0,5.0,52
397597797,MLM42305910,20260805,1,2,0,5.0,92
393894050,MLM42305910,20260805,1,2,2,4.0,76
359652792,MLM42305910,20260805,1,2,2,5.0,139
323066521,MLM42305910,20260805,1,1,1,5.0,10
322456385,MLM42305910,20260805,1,1,3,5.0,14
2943221301,MLM42305910,20260706,1,3,0,5.0,229
2590899015,MLM42305910,20260107,2,1,2,5.0,0
1377566861,MLM42305910,20260805,1,2,2,5.0,126
1853200710,MLM42305910,20250805,2,1,2,4.0,0
1292972152,MLM42305910,20260805,1,2,2,5.0,115
2909671385,MLM42305910,20260606,1,3,0,5.0,416
2856823420,MLM42305910,20260507,1,3,0,5.0,312
2769642676,MLM42305910,20260308,1,2,2,5.0,189
2750446880,MLM42305910,20260308,1,2,0,4.0,111
